@relation weather

@attribute outlook {0, 1, 2}
@attribute temperature real
@attribute humidity real
@attribute windy {1, 0}
@attribute class {yes, no}

@data
0,85,85,0,no
0,82,90,1,no
1,83,86,0,yes
2,65,96,0,yes
2,70,80,0,yes
2,65,70,1,no
1,64,65,1,yes
0,72,95,0,no
0,69,70,0,yes
2,75,80,0,yes
0,75,70,1,yes
1,72,90,1,yes
1,81,75,0,yes
2,71,91,1,no
0,72,95,0,no
0,50,60,0,yes
2,75,80,0,yes
0,50,56,1,no
1,72,90,1,yes
2,60,50,0,no
2,71,91,1,no
0,72,95,0,no
0,69,69,0,yes
2,45,20,0,no
0,75,70,1,yes
1,72,85,1,yes
1,80,70,0,yes
2,71,90,1,no
0,70,91,0,no
1,65,73,0,yes
2,75,80,0,yes
0,75,70,1,yes
1,70,85,1,yes
1,81,75,0,yes
0,71,91,1,yes
